,city_id,city_name,hotel id,hotel name,hotel url,latitude,longitude,score,description
51,33,Bayonne,51, La Chambre d'Hote de Mano - Centre-ville de Bayonne ,https://www.booking.com/hotel/fr/chambre-d-39-hotes-de-bayonne-france.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=52&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4953023169723,-1.46939464418028,9.7," Situé à 200 mètres de la gare de Bayonne, à moins de 2 minutes à pied des berges de l'Adour et à 1 km de la cathédrale, l'établissement La Chambre d'Hote De Mano - Centre-ville de Bayonne vous propose... "
52,33,Bayonne,52, Bright apartment with loggia in Bayonne ,https://www.booking.com/hotel/fr/bright-apartment-with-loggia-in-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=53&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.5068407,-1.48000539999998,8.1," Situé à 3,6 km de la cathédrale Sainte-Marie, à 5 km du parc Ansot et à 2,7 km de la préfecture des Pyrénées-Atlantiques, le Welkeys - Laharie Apartment propose un hébergement à Bayonne. "
53,33,Bayonne,53, Apartment Casa Itzuli-2 ,https://www.booking.com/hotel/fr/apartment-casa-itzuli-2.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=54&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.489022,-1.475602,8.3," L'Apartment Casa Itzuli.2 est situé à Bayonne, à 600 mètres de la cathédrale Sainte-Marie, à 2,2 km du parc Ansot et à 600 mètres du musée Bonnat-Helleu, le musée des beaux-arts de Bayonne. "
54,33,Bayonne,54, Appartement type 2 en rez de jardin ,https://www.booking.com/hotel/fr/appartement-type-2-en-rez-de-jardin.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=55&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.5022189697798,-1.46103458675718,8.1," Doté d’un jardin, d’une terrasse et d’un service de prêt de vélos, l'Appartement type 2 en rez de jardin propose un hébergement en bord de mer à Bayonne, à seulement 3,7 km de la cathédrale... "
55,33,Bayonne,55, By'Ona Marquisat au calme à 2 pas de l'Adour ,https://www.booking.com/hotel/fr/appart-cotebaque-bayonne-premium.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=56&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4949357,-1.4667263,9.4," Le Baiona Marquisat au calme à 2 pas de l’Adour est situé à Bayonne, à 2,1 km de la cathédrale Sainte-Marie, à 3 km du parc Ansot et à moins de 1 km du jardin botanique. "
56,33,Bayonne,56, Apartment Casa Itzuli-1 ,https://www.booking.com/hotel/fr/apartment-casa-itzuli-1.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=57&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.489022,-1.475602,8.3," L'Apartment Casa Itzuli.1 est situé à Bayonne, à 600 mètres du musée Bonnat-Helleu, à 1,1 km de l'hôtel de ville et à 2,2 km du parc Ansot. "
57,33,Bayonne,57, Appartement au calme proximité centre ,https://www.booking.com/hotel/fr/appartement-au-calme-proximite-centre.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=58&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.471391732493,-1.486316218016,9.5," Offrant une vue sur le jardin, l'Appartement au calme proximité centre est situé à Bayonne, à 3,6 km du tribunal de grande instance et à 3,8 km de l'hôtel de ville. "
58,33,Bayonne,58, 23 Avenue du 8 Mai 1945 ,https://www.booking.com/hotel/fr/23-avenue-du-8-mai-1945.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=59&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4728192,-1.4858856,9.5," Situé à Bayonne, à seulement 1,9 km du parc Ansot, le 23 Avenue du 8 Mai 1945 propose un hébergement avec vue sur la rivière. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking... "
59,33,Bayonne,59, Cocon au coeur du petit bayonne ,https://www.booking.com/hotel/fr/cocon-au-coeur-du-petit-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=60&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4903141,-1.4727562,8.2," Cocon au coeur du petit bayonne offers accommodation in Bayonne, 400 metres from Saint Marie Cathedral and 1.2 km from Ansot Park. "
60,33,Bayonne,60, Bayonne en plein cœur Centre Historique 2 chambres ,https://www.booking.com/hotel/fr/bayonne-en-plein-coeur-centre-historique-2-chambres.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=61&hpos=11&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4890699,-1.4755226,8.3," Situé à Bayonne, à 200 mètres de la cathédrale Sainte-Marie et à moins de 1 km du parc Ansot, l’hébergement Bayonne en plein cœur Centre Historique 2 chambres propose une connexion Wi-Fi gratuite. "
61,33,Bayonne,61," Appartement Bayonne, 2 pièces, 4 personnes - FR-1-248-24 ",https://www.booking.com/hotel/fr/apartment-marinadour.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=62&hpos=12&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.497462,-1.485181,8.1," Situé à Bayonne, l'Apartment Marinadour se trouve à 1 km de la cathédrale Sainte-Marie et à 2,1 km du parc Ansot. "
62,33,Bayonne,62, SCI charcutière 64 ,https://www.booking.com/hotel/fr/sci-charcutiere-64.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=63&hpos=13&no_rooms=1&sr_order=popularity&srepoch=1604998592&srpvid=f8b03ee070ec0118&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.489456,-1.473527,8.8," Le SCI charcutière 64 propose un hébergement avec une connexion Wi-Fi gratuite à Bayonne, à 1,3 km de la cathédrale Sainte-Marie, à 1,7 km du parc Ansot et à 600 mètres du musée Bonnat-Helleu, le... "
